Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM)
21.428,23316,124.615,76.546,14.615,0,68,80,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21.937,23316,125.419,73.778,13.521,0,64,85,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.449,23316,123.798,73.129,11.943,0,68,81,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.96,23316,122.641,76.378,15.223,0,69,76,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.472,23316,119.241,75.642,15.831,0,68,84,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.983,23316,117.461,75.642,13.543,0,66,84,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24.488,23316,120.067,77.985,15.453,0,68,82,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,23316,121.104,77.188,15.038,0,69,82,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25.511,23316,117.5,75.072,15.036,0,75,79,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26.025,23316,118.304,72.511,14.18,0,66,85,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26.533,23316,120.741,70.692,15.691,0,69,80,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27.045,23316,119.669,73.599,15.558,0,65,83,55,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27.556,23316,122.57,77.927,16.095,0,68,84,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28.062,23316,125.037,79.145,14.797,0,66,84,54,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28.571,23316,123.326,79.145,15.556,0,74,82,55,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29.076,23316,120.612,61.172,13.205,0,64,70,54,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29.582,23316,115.683,60.388,13.722,0,68,82,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30.093,23316,126.708,75.72,13.772,0,65,83,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30.605,23316,126.708,75.72,13.772,0,73,88,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31.111,23316,124.632,73.624,13.195,0,62,84,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31.623,23316,128.282,76.762,14.022,0,69,81,54,2865,8451,1.07,898,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32.135,23316,128.963,76.762,14.403,0,64,83,55,2865,8451,1.07,898,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32.648,23316,121.28,73.812,14.832,0,67,81,54,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33.159,23316,127.535,81.717,12.179,0,65,84,54,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33.67,23316,128.191,81.717,12.179,0,66,82,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.178,23316,132.693,81.309,13.58,0,65,83,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.688,23316,131.938,81.579,14.049,0,66,81,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
